Time,Humidity,Tempreture 
39371,38.00,24.80
39372,38.00,24.80
39373,38.00,24.80
39374,38.00,24.80
39375,38.00,24.80
39376,38.00,24.80
39377,38.00,24.80
39378,38.00,24.80
39379,38.00,24.80
39380,38.00,24.80
39381,38.00,24.60
39382,38.00,24.60
39383,38.00,24.60
39384,38.00,24.60
39385,38.00,24.60
39386,38.00,24.60
39387,38.00,24.80
39388,38.00,24.80
39389,38.00,24.80
39390,38.00,24.80
39391,38.00,24.80
39392,38.00,24.80
39393,38.00,24.80
39394,38.00,24.80
39395,38.00,24.80
39396,38.00,24.80
39397,38.00,24.80
39398,38.00,24.80
39399,38.00,24.80
39400,38.00,24.80
39401,38.00,24.80
39402,38.00,24.80
39403,38.00,24.80
39404,38.00,24.80
39405,38.00,24.80
39406,38.00,24.80
39407,38.00,24.80
39408,38.00,24.80
39409,38.00,24.80
39410,38.00,24.80
39411,38.00,24.80
39412,38.00,24.80
39413,38.00,24.80
39414,38.00,24.80
39415,38.00,24.80
39416,38.00,24.80
39417,38.00,24.80
39418,38.00,24.80
39419,38.00,24.80
39420,38.00,24.80
39421,38.00,24.80
39422,38.00,24.80
39423,38.00,24.80
39424,38.00,24.80
39425,38.00,24.80
39426,38.00,24.80
39427,38.00,24.80
39428,38.00,24.80
39429,38.00,24.80
39430,38.00,24.80
39431,38.00,24.80
39432,38.00,24.80
39433,38.00,24.80
39434,38.00,24.80
39435,38.00,24.80
39436,38.00,24.80
39437,38.00,24.80
39438,38.00,24.80
39439,38.00,24.80
39440,38.00,24.80
39441,38.00,24.80
39442,38.00,24.80
39443,38.00,24.80
39444,38.00,24.80
39445,38.00,24.80
39446,38.00,24.80
39447,38.00,24.80
39448,38.00,24.80
39449,38.00,24.80
39450,38.00,24.80
39451,38.00,24.80
39452,38.00,24.80
39453,38.00,24.80
39454,38.00,24.80
39455,38.00,24.80
39456,38.00,24.80
39457,38.00,24.80
39458,38.00,24.80
39459,38.00,24.80
39460,38.00,24.80
39461,38.00,24.80
39462,38.00,24.80
39463,38.00,24.80
39464,38.00,24.80
39465,38.00,24.80
39466,38.00,24.80
39467,38.00,24.80
39468,38.00,24.80
39469,38.00,24.80
39470,38.00,24.80
39471,38.00,24.80
39472,38.00,24.80
39473,38.00,24.80
39474,38.00,24.80
39475,38.00,24.80
39476,38.00,24.80
39477,38.00,24.80
39478,38.00,24.80
39479,38.00,24.80
39480,38.00,24.80
39481,38.00,24.80
39482,38.00,24.80
39483,38.00,24.80
39484,38.00,24.80
39485,38.00,24.80
39486,38.00,24.80
39487,38.00,24.80
39488,38.00,24.80
39489,38.00,24.80
39490,38.00,24.80
39491,38.00,24.80
39492,38.00,24.80
39493,38.00,24.80
39494,38.00,24.80
39495,38.00,24.80
39496,38.00,24.80
39497,38.00,24.80
39498,38.00,24.80
39499,38.00,24.80
39500,38.00,24.80
39501,38.00,24.80
39502,38.00,24.80
39503,38.00,24.80
39504,38.00,24.80
39505,38.00,24.80
39506,38.00,24.80
39507,38.00,24.80
39508,38.00,24.80
39509,38.00,24.80
39510,38.00,24.80
39511,38.00,24.80
39512,38.00,24.80
39513,38.00,24.80
39514,38.00,24.80
39515,38.00,24.80
39516,38.00,24.80
39517,38.00,24.80
39518,38.00,24.80
39519,38.00,24.80
39520,38.00,24.80
39521,38.00,24.80
39522,38.00,24.80
39523,38.00,24.80
39524,38.00,24.80
39525,38.00,24.80
39526,38.00,24.80
39527,38.00,24.80
39528,38.00,24.80
39529,38.00,24.80
39530,38.00,24.80
39531,38.00,24.90
39532,38.00,24.90
39533,38.00,24.90
39534,38.00,25.30
39535,38.00,25.30
39536,38.00,25.30
39537,38.00,25.30
39538,38.00,25.30
39539,38.00,25.30
39540,38.00,25.30
39541,38.00,25.30
39542,38.00,24.90
39543,38.00,24.90
39544,38.00,24.90
39545,38.00,24.80
39546,38.00,24.80
39547,38.00,24.80
39548,38.00,24.80
39549,38.00,24.80
39550,38.00,24.80
39551,38.00,24.80
39552,38.00,24.80
39553,38.00,24.80
39554,38.00,24.80
39555,38.00,24.80
39556,38.00,24.80
39557,38.00,24.80
39558,38.00,24.80
39559,38.00,24.80
39560,38.00,24.80
39561,38.00,24.80
39562,38.00,24.80
39563,38.00,24.80
39564,38.00,24.80
39565,38.00,24.80
39566,38.00,24.80
39567,38.00,24.80
39568,38.00,24.80
39569,38.00,24.80
39570,38.00,24.80
39571,38.00,24.80
39572,38.00,24.80
39573,38.00,24.80
39574,38.00,24.80
39575,38.00,24.80
39576,38.00,24.80
39577,38.00,24.80
39578,38.00,24.80
39579,38.00,24.80
39580,38.00,24.80
39581,38.00,24.80
39582,38.00,24.80
39583,38.00,24.80
39584,38.00,24.80
39585,38.00,24.80
39586,38.00,24.80
39587,38.00,24.80
39588,38.00,24.80
39589,38.00,24.80
39590,38.00,24.80
39591,38.00,24.80
39592,38.00,24.80
39593,38.00,24.80
39594,38.00,24.80
39595,38.00,24.80
39596,38.00,24.80
39597,38.00,24.80
39598,38.00,24.80
39599,38.00,24.80
39600,38.00,24.80
39601,38.00,24.80
39602,38.00,24.80
39603,38.00,24.80
39604,38.00,24.80
39605,38.00,24.80
39606,38.00,24.80
39607,38.00,24.80
39608,38.00,24.80
39609,38.00,24.80
39610,38.00,24.80
39611,38.00,24.80
39612,38.00,24.80
39613,38.00,24.80
39614,38.00,24.80
39615,38.00,24.80
39616,38.00,24.80
39617,38.00,24.80
39618,38.00,24.80
39619,38.00,24.80
39620,38.00,24.80
39621,38.00,24.80
39622,38.00,24.80
39623,38.00,24.80
39624,38.00,24.80
39625,38.00,24.80
39626,38.00,24.80
39627,38.00,24.80
39628,38.00,24.80
39629,38.00,24.80
39630,38.00,24.80
39631,38.00,24.80
39632,38.00,24.80
39633,38.00,24.80
39634,38.00,24.80
39635,38.00,24.80
39636,38.00,24.80
39637,38.00,24.80
39638,38.00,24.80
39639,38.00,24.80
39640,38.00,24.80
39641,38.00,24.80
39642,38.00,24.80
39643,38.00,24.80
39644,38.00,24.80
39645,38.00,24.80
39646,38.00,24.80
39647,38.00,24.80
39648,38.00,24.80
39649,38.00,24.80
39650,38.00,24.80
39651,38.00,24.80
39652,38.00,24.80
39653,38.00,24.80
39654,38.00,24.80
39655,38.00,24.80
39656,38.00,24.80
39657,38.00,24.80
39658,38.00,24.80
39659,38.00,24.80
39660,38.00,24.80
39661,38.00,24.80
39662,38.00,24.80
39663,38.00,24.80
39664,38.00,24.80
39665,38.00,24.80
39666,38.00,24.80
39667,38.00,24.80
39668,38.00,24.80
39669,38.00,24.80
39670,38.00,24.80
39671,38.00,24.80
39672,38.00,24.80
39673,38.00,24.80
39674,38.00,24.80
39675,38.00,24.80
39676,38.00,24.80
39677,38.00,24.80
39678,38.00,24.80
39679,38.00,24.80
39680,38.00,24.80
39681,38.00,24.80
39682,38.00,24.80
39683,38.00,24.80
39684,38.00,24.80
39685,38.00,24.80
39686,38.00,24.80
39687,38.00,24.80
39688,38.00,24.80
39689,38.00,24.80
39690,38.00,24.80
39691,38.00,24.80
39692,38.00,24.80
39693,38.00,24.80
39694,38.00,24.80
39695,38.00,24.80
39696,38.00,24.80
39697,38.00,24.80
39698,38.00,24.80
39699,38.00,24.80
39700,38.00,24.80
39701,38.00,24.80
39702,38.00,24.80
39703,38.00,24.80
39704,38.00,24.80
39705,38.00,24.80
39706,38.00,24.80
39707,38.00,24.80
39708,38.00,24.80
39709,38.00,24.80
39710,38.00,24.80
39711,38.00,24.80
39712,38.00,24.80
39713,38.00,24.80
39714,38.00,24.80
39715,38.00,24.80
39716,38.00,24.80
39717,38.00,24.80
39718,38.00,24.80
39719,38.00,24.80
39720,38.00,24.80
39721,38.00,24.80
39722,38.00,24.80
39723,38.00,24.80
39724,38.00,24.80
39725,38.00,24.80
39726,38.00,24.80
39727,38.00,24.80
39728,38.00,24.80
39729,38.00,24.80
39730,38.00,24.80
39731,38.00,24.80
39732,38.00,24.80
39733,38.00,24.80
39734,38.00,24.80
39735,38.00,24.80
39736,38.00,24.80
39737,38.00,24.80
